completed 1/150, Solved: False, number of success = 0/1, acc = 0.0
completed 2/150, Solved: False, number of success = 0/2, acc = 0.0
completed 3/150, Solved: False, number of success = 0/3, acc = 0.0
completed 4/150, Solved: False, number of success = 0/4, acc = 0.0
completed 5/150, Solved: False, number of success = 0/5, acc = 0.0
completed 6/150, Solved: False, number of success = 0/6, acc = 0.0
completed 7/150, Solved: True, number of success = 1/7, acc = 14.29
completed 8/150, Solved: False, number of success = 1/8, acc = 12.5
completed 9/150, Solved: False, number of success = 1/9, acc = 11.11
completed 10/150, Solved: False, number of success = 1/10, acc = 10.0
completed 11/150, Solved: False, number of success = 1/11, acc = 9.09
completed 12/150, Solved: False, number of success = 1/12, acc = 8.33
completed 13/150, Solved: False, number of success = 1/13, acc = 7.69
completed 14/150, Solved: True, number of success = 2/14, acc = 14.29
completed 15/150, Solved: False, number of success = 2/15, acc = 13.33
completed 16/150, Solved: True, number of success = 3/16, acc = 18.75
completed 17/150, Solved: False, number of success = 3/17, acc = 17.65
completed 18/150, Solved: False, number of success = 3/18, acc = 16.67
completed 19/150, Solved: False, number of success = 3/19, acc = 15.79
completed 20/150, Solved: False, number of success = 3/20, acc = 15.0
completed 21/150, Solved: False, number of success = 3/21, acc = 14.29
completed 22/150, Solved: True, number of success = 4/22, acc = 18.18
completed 23/150, Solved: True, number of success = 5/23, acc = 21.74
completed 24/150, Solved: True, number of success = 6/24, acc = 25.0
completed 25/150, Solved: False, number of success = 6/25, acc = 24.0
completed 26/150, Solved: False, number of success = 6/26, acc = 23.08
completed 27/150, Solved: False, number of success = 6/27, acc = 22.22
completed 28/150, Solved: False, number of success = 6/28, acc = 21.43
completed 29/150, Solved: True, number of success = 7/29, acc = 24.14
completed 30/150, Solved: False, number of success = 7/30, acc = 23.33
completed 31/150, Solved: False, number of success = 7/31, acc = 22.58
completed 32/150, Solved: False, number of success = 7/32, acc = 21.88
completed 33/150, Solved: True, number of success = 8/33, acc = 24.24
completed 34/150, Solved: False, number of success = 8/34, acc = 23.53
completed 35/150, Solved: False, number of success = 8/35, acc = 22.86
completed 36/150, Solved: False, number of success = 8/36, acc = 22.22
completed 37/150, Solved: False, number of success = 8/37, acc = 21.62
completed 38/150, Solved: True, number of success = 9/38, acc = 23.68
completed 39/150, Solved: False, number of success = 9/39, acc = 23.08
completed 40/150, Solved: False, number of success = 9/40, acc = 22.5
completed 41/150, Solved: False, number of success = 9/41, acc = 21.95
completed 42/150, Solved: False, number of success = 9/42, acc = 21.43
completed 43/150, Solved: False, number of success = 9/43, acc = 20.93
completed 44/150, Solved: False, number of success = 9/44, acc = 20.45
completed 45/150, Solved: False, number of success = 9/45, acc = 20.0
completed 46/150, Solved: False, number of success = 9/46, acc = 19.57
completed 47/150, Solved: True, number of success = 10/47, acc = 21.28
completed 48/150, Solved: False, number of success = 10/48, acc = 20.83
completed 49/150, Solved: False, number of success = 10/49, acc = 20.41
completed 50/150, Solved: False, number of success = 10/50, acc = 20.0
completed 51/150, Solved: False, number of success = 10/51, acc = 19.61
completed 52/150, Solved: False, number of success = 10/52, acc = 19.23
completed 53/150, Solved: False, number of success = 10/53, acc = 18.87
completed 54/150, Solved: False, number of success = 10/54, acc = 18.52
completed 55/150, Solved: False, number of success = 10/55, acc = 18.18
completed 56/150, Solved: False, number of success = 10/56, acc = 17.86
completed 57/150, Solved: False, number of success = 10/57, acc = 17.54
completed 58/150, Solved: False, number of success = 10/58, acc = 17.24
completed 59/150, Solved: False, number of success = 10/59, acc = 16.95
completed 60/150, Solved: False, number of success = 10/60, acc = 16.67
completed 61/150, Solved: False, number of success = 10/61, acc = 16.39
