
completed 1/150, Solved: False, number of success = 0/1, acc = 0.0

completed 2/150, Solved: False, number of success = 0/2, acc = 0.0

completed 3/150, Solved: False, number of success = 0/3, acc = 0.0

completed 4/150, Solved: True, number of success = 1/4, acc = 25.0

completed 5/150, Solved: False, number of success = 1/5, acc = 20.0

completed 6/150, Solved: False, number of success = 1/6, acc = 16.67

completed 7/150, Solved: True, number of success = 2/7, acc = 28.57

completed 8/150, Solved: False, number of success = 2/8, acc = 25.0

completed 9/150, Solved: False, number of success = 2/9, acc = 22.22

completed 10/150, Solved: False, number of success = 2/10, acc = 20.0

completed 11/150, Solved: False, number of success = 2/11, acc = 18.18

completed 12/150, Solved: False, number of success = 2/12, acc = 16.67

completed 13/150, Solved: False, number of success = 2/13, acc = 15.38

completed 14/150, Solved: True, number of success = 3/14, acc = 21.43

completed 15/150, Solved: False, number of success = 3/15, acc = 20.0

completed 16/150, Solved: True, number of success = 4/16, acc = 25.0

completed 17/150, Solved: False, number of success = 4/17, acc = 23.53

completed 18/150, Solved: False, number of success = 4/18, acc = 22.22

completed 19/150, Solved: False, number of success = 4/19, acc = 21.05

completed 20/150, Solved: False, number of success = 4/20, acc = 20.0

completed 21/150, Solved: False, number of success = 4/21, acc = 19.05

completed 22/150, Solved: False, number of success = 4/22, acc = 18.18

completed 23/150, Solved: False, number of success = 4/23, acc = 17.39

completed 24/150, Solved: True, number of success = 5/24, acc = 20.83

completed 25/150, Solved: False, number of success = 5/25, acc = 20.0

completed 26/150, Solved: False, number of success = 5/26, acc = 19.23

completed 27/150, Solved: False, number of success = 5/27, acc = 18.52

completed 28/150, Solved: False, number of success = 5/28, acc = 17.86

completed 29/150, Solved: True, number of success = 6/29, acc = 20.69

completed 30/150, Solved: False, number of success = 6/30, acc = 20.0
completed 31/150, Solved: False, number of success = 6/31, acc = 19.35

completed 32/150, Solved: False, number of success = 6/32, acc = 18.75

completed 33/150, Solved: True, number of success = 7/33, acc = 21.21

completed 34/150, Solved: False, number of success = 7/34, acc = 20.59

completed 35/150, Solved: False, number of success = 7/35, acc = 20.0

completed 36/150, Solved: False, number of success = 7/36, acc = 19.44

completed 37/150, Solved: False, number of success = 7/37, acc = 18.92

completed 38/150, Solved: True, number of success = 8/38, acc = 21.05

completed 39/150, Solved: False, number of success = 8/39, acc = 20.51

completed 40/150, Solved: False, number of success = 8/40, acc = 20.0

completed 41/150, Solved: False, number of success = 8/41, acc = 19.51

completed 42/150, Solved: False, number of success = 8/42, acc = 19.05

completed 43/150, Solved: False, number of success = 8/43, acc = 18.6

completed 44/150, Solved: False, number of success = 8/44, acc = 18.18

completed 45/150, Solved: False, number of success = 8/45, acc = 17.78

completed 46/150, Solved: False, number of success = 8/46, acc = 17.39

completed 47/150, Solved: True, number of success = 9/47, acc = 19.15

completed 48/150, Solved: False, number of success = 9/48, acc = 18.75

completed 49/150, Solved: False, number of success = 9/49, acc = 18.37

completed 50/150, Solved: False, number of success = 9/50, acc = 18.0

completed 51/150, Solved: False, number of success = 9/51, acc = 17.65
completed 52/150, Solved: False, number of success = 9/52, acc = 17.31

