completed 1/150, Solved: False, number of success = 0/1, acc = 0.0
completed 2/150, Solved: False, number of success = 0/2, acc = 0.0
completed 3/150, Solved: False, number of success = 0/3, acc = 0.0
completed 4/150, Solved: False, number of success = 0/4, acc = 0.0
completed 5/150, Solved: False, number of success = 0/5, acc = 0.0
completed 6/150, Solved: False, number of success = 0/6, acc = 0.0
completed 7/150, Solved: True, number of success = 1/7, acc = 14.29
completed 8/150, Solved: False, number of success = 1/8, acc = 12.5
completed 9/150, Solved: False, number of success = 1/9, acc = 11.11
completed 10/150, Solved: False, number of success = 1/10, acc = 10.0
completed 11/150, Solved: False, number of success = 1/11, acc = 9.09
completed 12/150, Solved: False, number of success = 1/12, acc = 8.33
completed 13/150, Solved: False, number of success = 1/13, acc = 7.69
completed 14/150, Solved: True, number of success = 2/14, acc = 14.29
completed 15/150, Solved: False, number of success = 2/15, acc = 13.33
completed 16/150, Solved: True, number of success = 3/16, acc = 18.75
completed 17/150, Solved: False, number of success = 3/17, acc = 17.65
completed 18/150, Solved: False, number of success = 3/18, acc = 16.67
completed 19/150, Solved: False, number of success = 3/19, acc = 15.79
completed 20/150, Solved: False, number of success = 3/20, acc = 15.0
completed 21/150, Solved: False, number of success = 3/21, acc = 14.29
completed 22/150, Solved: False, number of success = 3/22, acc = 13.64
completed 23/150, Solved: False, number of success = 3/23, acc = 13.04
completed 24/150, Solved: True, number of success = 4/24, acc = 16.67
completed 25/150, Solved: False, number of success = 4/25, acc = 16.0
completed 26/150, Solved: False, number of success = 4/26, acc = 15.38
completed 27/150, Solved: False, number of success = 4/27, acc = 14.81
completed 28/150, Solved: False, number of success = 4/28, acc = 14.29
completed 29/150, Solved: True, number of success = 5/29, acc = 17.24
completed 30/150, Solved: False, number of success = 5/30, acc = 16.67
completed 31/150, Solved: False, number of success = 5/31, acc = 16.13
completed 32/150, Solved: False, number of success = 5/32, acc = 15.62
completed 33/150, Solved: True, number of success = 6/33, acc = 18.18
completed 34/150, Solved: False, number of success = 6/34, acc = 17.65
completed 35/150, Solved: False, number of success = 6/35, acc = 17.14
completed 36/150, Solved: False, number of success = 6/36, acc = 16.67
completed 37/150, Solved: False, number of success = 6/37, acc = 16.22
completed 38/150, Solved: True, number of success = 7/38, acc = 18.42
completed 39/150, Solved: False, number of success = 7/39, acc = 17.95
completed 40/150, Solved: False, number of success = 7/40, acc = 17.5
completed 41/150, Solved: False, number of success = 7/41, acc = 17.07
completed 42/150, Solved: False, number of success = 7/42, acc = 16.67
completed 43/150, Solved: False, number of success = 7/43, acc = 16.28
completed 44/150, Solved: False, number of success = 7/44, acc = 15.91
completed 45/150, Solved: False, number of success = 7/45, acc = 15.56
completed 46/150, Solved: False, number of success = 7/46, acc = 15.22
completed 47/150, Solved: True, number of success = 8/47, acc = 17.02
completed 48/150, Solved: False, number of success = 8/48, acc = 16.67
completed 49/150, Solved: False, number of success = 8/49, acc = 16.33
completed 50/150, Solved: False, number of success = 8/50, acc = 16.0
completed 51/150, Solved: False, number of success = 8/51, acc = 15.69
completed 52/150, Solved: False, number of success = 8/52, acc = 15.38
completed 53/150, Solved: False, number of success = 8/53, acc = 15.09
completed 54/150, Solved: False, number of success = 8/54, acc = 14.81
completed 55/150, Solved: False, number of success = 8/55, acc = 14.55
completed 56/150, Solved: False, number of success = 8/56, acc = 14.29
completed 57/150, Solved: False, number of success = 8/57, acc = 14.04
completed 58/150, Solved: False, number of success = 8/58, acc = 13.79
completed 59/150, Solved: False, number of success = 8/59, acc = 13.56
completed 60/150, Solved: False, number of success = 8/60, acc = 13.33
completed 61/150, Solved: False, number of success = 8/61, acc = 13.11
