
completed 1/150, Solved: False, number of success = 0/1, acc = 0.0

completed 2/150, Solved: False, number of success = 0/2, acc = 0.0

completed 3/150, Solved: False, number of success = 0/3, acc = 0.0

completed 4/150, Solved: True, number of success = 1/4, acc = 25.0

completed 5/150, Solved: False, number of success = 1/5, acc = 20.0

completed 6/150, Solved: False, number of success = 1/6, acc = 16.67

completed 7/150, Solved: True, number of success = 2/7, acc = 28.57

completed 8/150, Solved: False, number of success = 2/8, acc = 25.0

completed 9/150, Solved: False, number of success = 2/9, acc = 22.22

completed 10/150, Solved: False, number of success = 2/10, acc = 20.0

completed 11/150, Solved: False, number of success = 2/11, acc = 18.18

completed 12/150, Solved: False, number of success = 2/12, acc = 16.67

completed 13/150, Solved: False, number of success = 2/13, acc = 15.38

completed 14/150, Solved: True, number of success = 3/14, acc = 21.43

completed 15/150, Solved: False, number of success = 3/15, acc = 20.0

completed 16/150, Solved: True, number of success = 4/16, acc = 25.0

completed 17/150, Solved: False, number of success = 4/17, acc = 23.53

completed 18/150, Solved: False, number of success = 4/18, acc = 22.22

completed 19/150, Solved: False, number of success = 4/19, acc = 21.05

completed 20/150, Solved: False, number of success = 4/20, acc = 20.0

completed 21/150, Solved: False, number of success = 4/21, acc = 19.05

completed 22/150, Solved: True, number of success = 5/22, acc = 22.73

completed 23/150, Solved: False, number of success = 5/23, acc = 21.74

completed 24/150, Solved: True, number of success = 6/24, acc = 25.0

completed 25/150, Solved: False, number of success = 6/25, acc = 24.0

completed 26/150, Solved: False, number of success = 6/26, acc = 23.08

completed 27/150, Solved: False, number of success = 6/27, acc = 22.22

completed 28/150, Solved: False, number of success = 6/28, acc = 21.43

completed 29/150, Solved: True, number of success = 7/29, acc = 24.14

completed 30/150, Solved: False, number of success = 7/30, acc = 23.33
completed 31/150, Solved: False, number of success = 7/31, acc = 22.58

completed 32/150, Solved: False, number of success = 7/32, acc = 21.88

completed 33/150, Solved: True, number of success = 8/33, acc = 24.24

completed 34/150, Solved: False, number of success = 8/34, acc = 23.53

completed 35/150, Solved: False, number of success = 8/35, acc = 22.86

completed 36/150, Solved: False, number of success = 8/36, acc = 22.22

completed 37/150, Solved: False, number of success = 8/37, acc = 21.62

completed 38/150, Solved: True, number of success = 9/38, acc = 23.68

completed 39/150, Solved: False, number of success = 9/39, acc = 23.08

completed 40/150, Solved: False, number of success = 9/40, acc = 22.5

completed 41/150, Solved: False, number of success = 9/41, acc = 21.95

completed 42/150, Solved: False, number of success = 9/42, acc = 21.43

completed 43/150, Solved: False, number of success = 9/43, acc = 20.93

completed 44/150, Solved: False, number of success = 9/44, acc = 20.45

completed 45/150, Solved: False, number of success = 9/45, acc = 20.0

completed 46/150, Solved: False, number of success = 9/46, acc = 19.57

completed 47/150, Solved: True, number of success = 10/47, acc = 21.28

completed 48/150, Solved: False, number of success = 10/48, acc = 20.83

completed 49/150, Solved: False, number of success = 10/49, acc = 20.41

completed 50/150, Solved: False, number of success = 10/50, acc = 20.0

completed 51/150, Solved: False, number of success = 10/51, acc = 19.61
completed 52/150, Solved: False, number of success = 10/52, acc = 19.23

