completed 1/165, Solved: False, number of success = 0/1, acc = 0.0
completed 2/165, Solved: False, number of success = 0/2, acc = 0.0
completed 3/165, Solved: False, number of success = 0/3, acc = 0.0
completed 4/165, Solved: False, number of success = 0/4, acc = 0.0
completed 5/165, Solved: False, number of success = 0/5, acc = 0.0
completed 6/165, Solved: False, number of success = 0/6, acc = 0.0
completed 7/165, Solved: False, number of success = 0/7, acc = 0.0
completed 8/165, Solved: False, number of success = 0/8, acc = 0.0
completed 9/165, Solved: False, number of success = 0/9, acc = 0.0
completed 10/165, Solved: False, number of success = 0/10, acc = 0.0
completed 11/165, Solved: False, number of success = 0/11, acc = 0.0
completed 12/165, Solved: False, number of success = 0/12, acc = 0.0
completed 13/165, Solved: False, number of success = 0/13, acc = 0.0
completed 14/165, Solved: False, number of success = 0/14, acc = 0.0
completed 15/165, Solved: False, number of success = 0/15, acc = 0.0
completed 16/165, Solved: False, number of success = 0/16, acc = 0.0
completed 17/165, Solved: False, number of success = 0/17, acc = 0.0
completed 18/165, Solved: False, number of success = 0/18, acc = 0.0
completed 19/165, Solved: False, number of success = 0/19, acc = 0.0
completed 20/165, Solved: False, number of success = 0/20, acc = 0.0
completed 21/165, Solved: False, number of success = 0/21, acc = 0.0
completed 22/165, Solved: False, number of success = 0/22, acc = 0.0
completed 23/165, Solved: False, number of success = 0/23, acc = 0.0
completed 24/165, Solved: False, number of success = 0/24, acc = 0.0
completed 25/165, Solved: False, number of success = 0/25, acc = 0.0
completed 26/165, Solved: False, number of success = 0/26, acc = 0.0
completed 27/165, Solved: False, number of success = 0/27, acc = 0.0
completed 28/165, Solved: False, number of success = 0/28, acc = 0.0
completed 29/165, Solved: True, number of success = 1/29, acc = 3.45
completed 30/165, Solved: True, number of success = 2/30, acc = 6.67
completed 31/165, Solved: True, number of success = 3/31, acc = 9.68
completed 32/165, Solved: True, number of success = 4/32, acc = 12.5
completed 33/165, Solved: True, number of success = 5/33, acc = 15.15
completed 34/165, Solved: True, number of success = 6/34, acc = 17.65
completed 35/165, Solved: True, number of success = 7/35, acc = 20.0
completed 36/165, Solved: True, number of success = 8/36, acc = 22.22
completed 37/165, Solved: False, number of success = 8/37, acc = 21.62
completed 38/165, Solved: False, number of success = 8/38, acc = 21.05
completed 39/165, Solved: False, number of success = 8/39, acc = 20.51
completed 40/165, Solved: False, number of success = 8/40, acc = 20.0
completed 41/165, Solved: False, number of success = 8/41, acc = 19.51
completed 42/165, Solved: False, number of success = 8/42, acc = 19.05
completed 43/165, Solved: False, number of success = 8/43, acc = 18.6
completed 44/165, Solved: False, number of success = 8/44, acc = 18.18
completed 45/165, Solved: False, number of success = 8/45, acc = 17.78
completed 46/165, Solved: False, number of success = 8/46, acc = 17.39
completed 47/165, Solved: False, number of success = 8/47, acc = 17.02
completed 48/165, Solved: False, number of success = 8/48, acc = 16.67
completed 49/165, Solved: False, number of success = 8/49, acc = 16.33
completed 50/165, Solved: False, number of success = 8/50, acc = 16.0
completed 51/165, Solved: False, number of success = 8/51, acc = 15.69
completed 52/165, Solved: False, number of success = 8/52, acc = 15.38
completed 53/165, Solved: False, number of success = 8/53, acc = 15.09
completed 54/165, Solved: False, number of success = 8/54, acc = 14.81
completed 55/165, Solved: False, number of success = 8/55, acc = 14.55
completed 56/165, Solved: False, number of success = 8/56, acc = 14.29
completed 57/165, Solved: False, number of success = 8/57, acc = 14.04
completed 58/165, Solved: False, number of success = 8/58, acc = 13.79
completed 59/165, Solved: True, number of success = 9/59, acc = 15.25
completed 60/165, Solved: True, number of success = 10/60, acc = 16.67
completed 61/165, Solved: True, number of success = 11/61, acc = 18.03
completed 62/165, Solved: True, number of success = 12/62, acc = 19.35
completed 63/165, Solved: True, number of success = 13/63, acc = 20.63
completed 64/165, Solved: True, number of success = 14/64, acc = 21.88
completed 65/165, Solved: True, number of success = 15/65, acc = 23.08
completed 66/165, Solved: False, number of success = 15/66, acc = 22.73
completed 67/165, Solved: False, number of success = 15/67, acc = 22.39
completed 68/165, Solved: False, number of success = 15/68, acc = 22.06
completed 69/165, Solved: False, number of success = 15/69, acc = 21.74
completed 70/165, Solved: False, number of success = 15/70, acc = 21.43
completed 71/165, Solved: False, number of success = 15/71, acc = 21.13
completed 72/165, Solved: False, number of success = 15/72, acc = 20.83
completed 73/165, Solved: False, number of success = 15/73, acc = 20.55
completed 74/165, Solved: False, number of success = 15/74, acc = 20.27
completed 75/165, Solved: False, number of success = 15/75, acc = 20.0
completed 76/165, Solved: False, number of success = 15/76, acc = 19.74
completed 77/165, Solved: False, number of success = 15/77, acc = 19.48
completed 78/165, Solved: False, number of success = 15/78, acc = 19.23
completed 79/165, Solved: False, number of success = 15/79, acc = 18.99
completed 80/165, Solved: False, number of success = 15/80, acc = 18.75
completed 81/165, Solved: False, number of success = 15/81, acc = 18.52
completed 82/165, Solved: False, number of success = 15/82, acc = 18.29
completed 83/165, Solved: False, number of success = 15/83, acc = 18.07
completed 84/165, Solved: False, number of success = 15/84, acc = 17.86
completed 85/165, Solved: False, number of success = 15/85, acc = 17.65
completed 86/165, Solved: False, number of success = 15/86, acc = 17.44
completed 87/165, Solved: False, number of success = 15/87, acc = 17.24
completed 88/165, Solved: False, number of success = 15/88, acc = 17.05
completed 89/165, Solved: False, number of success = 15/89, acc = 16.85
completed 90/165, Solved: False, number of success = 15/90, acc = 16.67
completed 91/165, Solved: False, number of success = 15/91, acc = 16.48
completed 92/165, Solved: False, number of success = 15/92, acc = 16.3
completed 93/165, Solved: False, number of success = 15/93, acc = 16.13
completed 94/165, Solved: False, number of success = 15/94, acc = 15.96
completed 95/165, Solved: False, number of success = 15/95, acc = 15.79
completed 96/165, Solved: False, number of success = 15/96, acc = 15.62
completed 97/165, Solved: False, number of success = 15/97, acc = 15.46
completed 98/165, Solved: False, number of success = 15/98, acc = 15.31
completed 99/165, Solved: True, number of success = 16/99, acc = 16.16
completed 100/165, Solved: True, number of success = 17/100, acc = 17.0
completed 101/165, Solved: True, number of success = 18/101, acc = 17.82
completed 102/165, Solved: True, number of success = 19/102, acc = 18.63
completed 103/165, Solved: True, number of success = 20/103, acc = 19.42
completed 104/165, Solved: True, number of success = 21/104, acc = 20.19
completed 105/165, Solved: True, number of success = 22/105, acc = 20.95
completed 106/165, Solved: True, number of success = 23/106, acc = 21.7
completed 107/165, Solved: False, number of success = 23/107, acc = 21.5
completed 108/165, Solved: False, number of success = 23/108, acc = 21.3
completed 109/165, Solved: False, number of success = 23/109, acc = 21.1
completed 110/165, Solved: False, number of success = 23/110, acc = 20.91
completed 111/165, Solved: False, number of success = 23/111, acc = 20.72
completed 112/165, Solved: False, number of success = 23/112, acc = 20.54
completed 113/165, Solved: False, number of success = 23/113, acc = 20.35
completed 114/165, Solved: True, number of success = 24/114, acc = 21.05
completed 115/165, Solved: True, number of success = 25/115, acc = 21.74
completed 116/165, Solved: True, number of success = 26/116, acc = 22.41
completed 117/165, Solved: True, number of success = 27/117, acc = 23.08
completed 118/165, Solved: True, number of success = 28/118, acc = 23.73
completed 119/165, Solved: True, number of success = 29/119, acc = 24.37
completed 120/165, Solved: False, number of success = 29/120, acc = 24.17
completed 121/165, Solved: False, number of success = 29/121, acc = 23.97
completed 122/165, Solved: False, number of success = 29/122, acc = 23.77
completed 123/165, Solved: False, number of success = 29/123, acc = 23.58
completed 124/165, Solved: False, number of success = 29/124, acc = 23.39
completed 125/165, Solved: False, number of success = 29/125, acc = 23.2
completed 126/165, Solved: False, number of success = 29/126, acc = 23.02
completed 127/165, Solved: False, number of success = 29/127, acc = 22.83
completed 128/165, Solved: False, number of success = 29/128, acc = 22.66
completed 129/165, Solved: False, number of success = 29/129, acc = 22.48
completed 130/165, Solved: False, number of success = 29/130, acc = 22.31
completed 131/165, Solved: False, number of success = 29/131, acc = 22.14
completed 132/165, Solved: False, number of success = 29/132, acc = 21.97
completed 133/165, Solved: True, number of success = 30/133, acc = 22.56
completed 134/165, Solved: True, number of success = 31/134, acc = 23.13
completed 135/165, Solved: True, number of success = 32/135, acc = 23.7
completed 136/165, Solved: True, number of success = 33/136, acc = 24.26
completed 137/165, Solved: True, number of success = 34/137, acc = 24.82
completed 138/165, Solved: True, number of success = 35/138, acc = 25.36
completed 139/165, Solved: True, number of success = 36/139, acc = 25.9
completed 140/165, Solved: True, number of success = 37/140, acc = 26.43
completed 141/165, Solved: True, number of success = 38/141, acc = 26.95
completed 142/165, Solved: True, number of success = 39/142, acc = 27.46
completed 143/165, Solved: True, number of success = 40/143, acc = 27.97
completed 144/165, Solved: True, number of success = 41/144, acc = 28.47
completed 145/165, Solved: True, number of success = 42/145, acc = 28.97
completed 146/165, Solved: True, number of success = 43/146, acc = 29.45
completed 147/165, Solved: True, number of success = 44/147, acc = 29.93
completed 148/165, Solved: False, number of success = 44/148, acc = 29.73
completed 149/165, Solved: False, number of success = 44/149, acc = 29.53
completed 150/165, Solved: False, number of success = 44/150, acc = 29.33
completed 151/165, Solved: False, number of success = 44/151, acc = 29.14
completed 152/165, Solved: False, number of success = 44/152, acc = 28.95
completed 153/165, Solved: False, number of success = 44/153, acc = 28.76
completed 154/165, Solved: False, number of success = 44/154, acc = 28.57
completed 155/165, Solved: True, number of success = 45/155, acc = 29.03
completed 156/165, Solved: True, number of success = 46/156, acc = 29.49
completed 157/165, Solved: True, number of success = 47/157, acc = 29.94
completed 158/165, Solved: True, number of success = 48/158, acc = 30.38
completed 159/165, Solved: True, number of success = 49/159, acc = 30.82
completed 160/165, Solved: True, number of success = 50/160, acc = 31.25
completed 161/165, Solved: False, number of success = 50/161, acc = 31.06
completed 162/165, Solved: False, number of success = 50/162, acc = 30.86
completed 163/165, Solved: False, number of success = 50/163, acc = 30.67
completed 164/165, Solved: False, number of success = 50/164, acc = 30.49
completed 165/165, Solved: False, number of success = 50/165, acc = 30.3

##################################################
Experiment end results/CC/Analogical/gpt-4o/Python3-0.0-0.95-1/Run-1, Time: 2025-12-06 11:48:43.990833
###################################################

