completed 1/165, Solved: True, number of success = 1/1, acc = 100.0
completed 2/165, Solved: True, number of success = 2/2, acc = 100.0
completed 3/165, Solved: True, number of success = 3/3, acc = 100.0
completed 4/165, Solved: True, number of success = 4/4, acc = 100.0
completed 5/165, Solved: True, number of success = 5/5, acc = 100.0
completed 6/165, Solved: True, number of success = 6/6, acc = 100.0
completed 7/165, Solved: True, number of success = 7/7, acc = 100.0
completed 8/165, Solved: True, number of success = 8/8, acc = 100.0
completed 9/165, Solved: True, number of success = 9/9, acc = 100.0
completed 10/165, Solved: True, number of success = 10/10, acc = 100.0
completed 11/165, Solved: True, number of success = 11/11, acc = 100.0
completed 12/165, Solved: True, number of success = 12/12, acc = 100.0
completed 13/165, Solved: True, number of success = 13/13, acc = 100.0
completed 14/165, Solved: True, number of success = 14/14, acc = 100.0
completed 15/165, Solved: True, number of success = 15/15, acc = 100.0
completed 16/165, Solved: True, number of success = 16/16, acc = 100.0
completed 17/165, Solved: True, number of success = 17/17, acc = 100.0
completed 18/165, Solved: True, number of success = 18/18, acc = 100.0
completed 19/165, Solved: True, number of success = 19/19, acc = 100.0
completed 20/165, Solved: True, number of success = 20/20, acc = 100.0
completed 21/165, Solved: False, number of success = 20/21, acc = 95.24
completed 22/165, Solved: False, number of success = 20/22, acc = 90.91
completed 23/165, Solved: False, number of success = 20/23, acc = 86.96
completed 24/165, Solved: False, number of success = 20/24, acc = 83.33
completed 25/165, Solved: False, number of success = 20/25, acc = 80.0
completed 26/165, Solved: False, number of success = 20/26, acc = 76.92
completed 27/165, Solved: False, number of success = 20/27, acc = 74.07
completed 28/165, Solved: False, number of success = 20/28, acc = 71.43
completed 29/165, Solved: True, number of success = 21/29, acc = 72.41
completed 30/165, Solved: True, number of success = 22/30, acc = 73.33
completed 31/165, Solved: True, number of success = 23/31, acc = 74.19
completed 32/165, Solved: True, number of success = 24/32, acc = 75.0
completed 33/165, Solved: True, number of success = 25/33, acc = 75.76
completed 34/165, Solved: True, number of success = 26/34, acc = 76.47
completed 35/165, Solved: True, number of success = 27/35, acc = 77.14
completed 36/165, Solved: True, number of success = 28/36, acc = 77.78
completed 37/165, Solved: False, number of success = 28/37, acc = 75.68
completed 38/165, Solved: False, number of success = 28/38, acc = 73.68
completed 39/165, Solved: False, number of success = 28/39, acc = 71.79
completed 40/165, Solved: False, number of success = 28/40, acc = 70.0
completed 41/165, Solved: False, number of success = 28/41, acc = 68.29
completed 42/165, Solved: False, number of success = 28/42, acc = 66.67
completed 43/165, Solved: False, number of success = 28/43, acc = 65.12
completed 44/165, Solved: False, number of success = 28/44, acc = 63.64
completed 45/165, Solved: False, number of success = 28/45, acc = 62.22
completed 46/165, Solved: False, number of success = 28/46, acc = 60.87
completed 47/165, Solved: False, number of success = 28/47, acc = 59.57
completed 48/165, Solved: False, number of success = 28/48, acc = 58.33
completed 49/165, Solved: False, number of success = 28/49, acc = 57.14
completed 50/165, Solved: False, number of success = 28/50, acc = 56.0
completed 51/165, Solved: False, number of success = 28/51, acc = 54.9
completed 52/165, Solved: False, number of success = 28/52, acc = 53.85
completed 53/165, Solved: False, number of success = 28/53, acc = 52.83
completed 54/165, Solved: False, number of success = 28/54, acc = 51.85
completed 55/165, Solved: False, number of success = 28/55, acc = 50.91
completed 56/165, Solved: False, number of success = 28/56, acc = 50.0
completed 57/165, Solved: False, number of success = 28/57, acc = 49.12
completed 58/165, Solved: False, number of success = 28/58, acc = 48.28
completed 59/165, Solved: False, number of success = 28/59, acc = 47.46
completed 60/165, Solved: False, number of success = 28/60, acc = 46.67
completed 61/165, Solved: False, number of success = 28/61, acc = 45.9
completed 62/165, Solved: False, number of success = 28/62, acc = 45.16
completed 63/165, Solved: False, number of success = 28/63, acc = 44.44
completed 64/165, Solved: False, number of success = 28/64, acc = 43.75
completed 65/165, Solved: False, number of success = 28/65, acc = 43.08
completed 66/165, Solved: False, number of success = 28/66, acc = 42.42
completed 67/165, Solved: False, number of success = 28/67, acc = 41.79
completed 68/165, Solved: False, number of success = 28/68, acc = 41.18
completed 69/165, Solved: False, number of success = 28/69, acc = 40.58
completed 70/165, Solved: False, number of success = 28/70, acc = 40.0
completed 71/165, Solved: False, number of success = 28/71, acc = 39.44
completed 72/165, Solved: False, number of success = 28/72, acc = 38.89
completed 73/165, Solved: False, number of success = 28/73, acc = 38.36
completed 74/165, Solved: False, number of success = 28/74, acc = 37.84
completed 75/165, Solved: False, number of success = 28/75, acc = 37.33
completed 76/165, Solved: False, number of success = 28/76, acc = 36.84
