completed 1/165, Solved: True, number of success = 1/1, acc = 100.0
completed 2/165, Solved: True, number of success = 2/2, acc = 100.0
completed 3/165, Solved: True, number of success = 3/3, acc = 100.0
completed 4/165, Solved: True, number of success = 4/4, acc = 100.0
completed 5/165, Solved: True, number of success = 5/5, acc = 100.0
completed 6/165, Solved: True, number of success = 6/6, acc = 100.0
completed 7/165, Solved: True, number of success = 7/7, acc = 100.0
completed 8/165, Solved: True, number of success = 8/8, acc = 100.0
completed 9/165, Solved: True, number of success = 9/9, acc = 100.0
completed 10/165, Solved: True, number of success = 10/10, acc = 100.0
completed 11/165, Solved: True, number of success = 11/11, acc = 100.0
completed 12/165, Solved: True, number of success = 12/12, acc = 100.0
completed 13/165, Solved: True, number of success = 13/13, acc = 100.0
completed 14/165, Solved: False, number of success = 13/14, acc = 92.86
completed 15/165, Solved: False, number of success = 13/15, acc = 86.67
completed 16/165, Solved: False, number of success = 13/16, acc = 81.25
completed 17/165, Solved: False, number of success = 13/17, acc = 76.47
completed 18/165, Solved: False, number of success = 13/18, acc = 72.22
completed 19/165, Solved: False, number of success = 13/19, acc = 68.42
completed 20/165, Solved: False, number of success = 13/20, acc = 65.0
completed 21/165, Solved: True, number of success = 14/21, acc = 66.67
completed 22/165, Solved: True, number of success = 15/22, acc = 68.18
completed 23/165, Solved: True, number of success = 16/23, acc = 69.57
completed 24/165, Solved: True, number of success = 17/24, acc = 70.83
completed 25/165, Solved: True, number of success = 18/25, acc = 72.0
completed 26/165, Solved: True, number of success = 19/26, acc = 73.08
completed 27/165, Solved: False, number of success = 19/27, acc = 70.37
completed 28/165, Solved: False, number of success = 19/28, acc = 67.86
completed 29/165, Solved: True, number of success = 20/29, acc = 68.97
completed 30/165, Solved: True, number of success = 21/30, acc = 70.0
completed 31/165, Solved: True, number of success = 22/31, acc = 70.97
completed 32/165, Solved: True, number of success = 23/32, acc = 71.88
completed 33/165, Solved: True, number of success = 24/33, acc = 72.73
completed 34/165, Solved: True, number of success = 25/34, acc = 73.53
completed 35/165, Solved: True, number of success = 26/35, acc = 74.29
completed 36/165, Solved: True, number of success = 27/36, acc = 75.0
completed 37/165, Solved: False, number of success = 27/37, acc = 72.97
completed 38/165, Solved: False, number of success = 27/38, acc = 71.05
completed 39/165, Solved: False, number of success = 27/39, acc = 69.23
completed 40/165, Solved: False, number of success = 27/40, acc = 67.5
completed 41/165, Solved: False, number of success = 27/41, acc = 65.85
completed 42/165, Solved: False, number of success = 27/42, acc = 64.29
completed 43/165, Solved: False, number of success = 27/43, acc = 62.79
completed 44/165, Solved: False, number of success = 27/44, acc = 61.36
completed 45/165, Solved: False, number of success = 27/45, acc = 60.0
completed 46/165, Solved: True, number of success = 28/46, acc = 60.87
completed 47/165, Solved: True, number of success = 29/47, acc = 61.7
completed 48/165, Solved: True, number of success = 30/48, acc = 62.5
completed 49/165, Solved: True, number of success = 31/49, acc = 63.27
completed 50/165, Solved: True, number of success = 32/50, acc = 64.0
completed 51/165, Solved: True, number of success = 33/51, acc = 64.71
completed 52/165, Solved: False, number of success = 33/52, acc = 63.46
completed 53/165, Solved: False, number of success = 33/53, acc = 62.26
completed 54/165, Solved: False, number of success = 33/54, acc = 61.11
completed 55/165, Solved: False, number of success = 33/55, acc = 60.0
completed 56/165, Solved: False, number of success = 33/56, acc = 58.93
completed 57/165, Solved: False, number of success = 33/57, acc = 57.89
completed 58/165, Solved: False, number of success = 33/58, acc = 56.9
completed 59/165, Solved: False, number of success = 33/59, acc = 55.93
completed 60/165, Solved: False, number of success = 33/60, acc = 55.0
completed 61/165, Solved: False, number of success = 33/61, acc = 54.1
completed 62/165, Solved: False, number of success = 33/62, acc = 53.23
completed 63/165, Solved: False, number of success = 33/63, acc = 52.38
completed 64/165, Solved: False, number of success = 33/64, acc = 51.56
completed 65/165, Solved: False, number of success = 33/65, acc = 50.77
completed 66/165, Solved: False, number of success = 33/66, acc = 50.0
completed 67/165, Solved: False, number of success = 33/67, acc = 49.25
completed 68/165, Solved: False, number of success = 33/68, acc = 48.53
completed 69/165, Solved: False, number of success = 33/69, acc = 47.83
completed 70/165, Solved: False, number of success = 33/70, acc = 47.14
completed 71/165, Solved: False, number of success = 33/71, acc = 46.48
completed 72/165, Solved: False, number of success = 33/72, acc = 45.83
completed 73/165, Solved: False, number of success = 33/73, acc = 45.21
completed 74/165, Solved: False, number of success = 33/74, acc = 44.59
completed 75/165, Solved: False, number of success = 33/75, acc = 44.0
completed 76/165, Solved: False, number of success = 33/76, acc = 43.42
