completed 1/165, Solved: True, number of success = 1/1, acc = 100.0
completed 2/165, Solved: True, number of success = 2/2, acc = 100.0
completed 3/165, Solved: True, number of success = 3/3, acc = 100.0
completed 4/165, Solved: True, number of success = 4/4, acc = 100.0
completed 5/165, Solved: True, number of success = 5/5, acc = 100.0
completed 6/165, Solved: True, number of success = 6/6, acc = 100.0
completed 7/165, Solved: True, number of success = 7/7, acc = 100.0
completed 8/165, Solved: True, number of success = 8/8, acc = 100.0
completed 9/165, Solved: True, number of success = 9/9, acc = 100.0
completed 10/165, Solved: True, number of success = 10/10, acc = 100.0
completed 11/165, Solved: True, number of success = 11/11, acc = 100.0
completed 12/165, Solved: True, number of success = 12/12, acc = 100.0
completed 13/165, Solved: True, number of success = 13/13, acc = 100.0
completed 14/165, Solved: True, number of success = 14/14, acc = 100.0
completed 15/165, Solved: True, number of success = 15/15, acc = 100.0
completed 16/165, Solved: True, number of success = 16/16, acc = 100.0
completed 17/165, Solved: True, number of success = 17/17, acc = 100.0
completed 18/165, Solved: True, number of success = 18/18, acc = 100.0
completed 19/165, Solved: True, number of success = 19/19, acc = 100.0
completed 20/165, Solved: True, number of success = 20/20, acc = 100.0
completed 21/165, Solved: True, number of success = 21/21, acc = 100.0
completed 22/165, Solved: True, number of success = 22/22, acc = 100.0
completed 23/165, Solved: True, number of success = 23/23, acc = 100.0
completed 24/165, Solved: True, number of success = 24/24, acc = 100.0
completed 25/165, Solved: True, number of success = 25/25, acc = 100.0
completed 26/165, Solved: True, number of success = 26/26, acc = 100.0
completed 27/165, Solved: True, number of success = 27/27, acc = 100.0
completed 28/165, Solved: True, number of success = 28/28, acc = 100.0
completed 29/165, Solved: True, number of success = 29/29, acc = 100.0
completed 30/165, Solved: True, number of success = 30/30, acc = 100.0
completed 31/165, Solved: True, number of success = 31/31, acc = 100.0
completed 32/165, Solved: True, number of success = 32/32, acc = 100.0
completed 33/165, Solved: True, number of success = 33/33, acc = 100.0
completed 34/165, Solved: True, number of success = 34/34, acc = 100.0
completed 35/165, Solved: True, number of success = 35/35, acc = 100.0
completed 36/165, Solved: True, number of success = 36/36, acc = 100.0
completed 37/165, Solved: False, number of success = 36/37, acc = 97.3
completed 38/165, Solved: False, number of success = 36/38, acc = 94.74
completed 39/165, Solved: False, number of success = 36/39, acc = 92.31
completed 40/165, Solved: False, number of success = 36/40, acc = 90.0
completed 41/165, Solved: False, number of success = 36/41, acc = 87.8
completed 42/165, Solved: False, number of success = 36/42, acc = 85.71
completed 43/165, Solved: False, number of success = 36/43, acc = 83.72
completed 44/165, Solved: False, number of success = 36/44, acc = 81.82
completed 45/165, Solved: False, number of success = 36/45, acc = 80.0
completed 46/165, Solved: True, number of success = 37/46, acc = 80.43
completed 47/165, Solved: True, number of success = 38/47, acc = 80.85
completed 48/165, Solved: True, number of success = 39/48, acc = 81.25
completed 49/165, Solved: True, number of success = 40/49, acc = 81.63
completed 50/165, Solved: True, number of success = 41/50, acc = 82.0
completed 51/165, Solved: True, number of success = 42/51, acc = 82.35
completed 52/165, Solved: True, number of success = 43/52, acc = 82.69
completed 53/165, Solved: True, number of success = 44/53, acc = 83.02
completed 54/165, Solved: True, number of success = 45/54, acc = 83.33
completed 55/165, Solved: True, number of success = 46/55, acc = 83.64
completed 56/165, Solved: True, number of success = 47/56, acc = 83.93
completed 57/165, Solved: True, number of success = 48/57, acc = 84.21
completed 58/165, Solved: True, number of success = 49/58, acc = 84.48
completed 59/165, Solved: True, number of success = 50/59, acc = 84.75
completed 60/165, Solved: True, number of success = 51/60, acc = 85.0
completed 61/165, Solved: True, number of success = 52/61, acc = 85.25
completed 62/165, Solved: True, number of success = 53/62, acc = 85.48
completed 63/165, Solved: True, number of success = 54/63, acc = 85.71
completed 64/165, Solved: True, number of success = 55/64, acc = 85.94
completed 65/165, Solved: True, number of success = 56/65, acc = 86.15
completed 66/165, Solved: False, number of success = 56/66, acc = 84.85
completed 67/165, Solved: False, number of success = 56/67, acc = 83.58
completed 68/165, Solved: False, number of success = 56/68, acc = 82.35
completed 69/165, Solved: False, number of success = 56/69, acc = 81.16
completed 70/165, Solved: False, number of success = 56/70, acc = 80.0
completed 71/165, Solved: False, number of success = 56/71, acc = 78.87
completed 72/165, Solved: False, number of success = 56/72, acc = 77.78
completed 73/165, Solved: False, number of success = 56/73, acc = 76.71
completed 74/165, Solved: False, number of success = 56/74, acc = 75.68
completed 75/165, Solved: False, number of success = 56/75, acc = 74.67
completed 76/165, Solved: False, number of success = 56/76, acc = 73.68
