completed 1/165, Solved: True, number of success = 1/1, acc = 100.0
completed 2/165, Solved: True, number of success = 2/2, acc = 100.0
completed 3/165, Solved: True, number of success = 3/3, acc = 100.0
completed 4/165, Solved: True, number of success = 4/4, acc = 100.0
completed 5/165, Solved: True, number of success = 5/5, acc = 100.0
completed 6/165, Solved: True, number of success = 6/6, acc = 100.0
completed 7/165, Solved: True, number of success = 7/7, acc = 100.0
completed 8/165, Solved: True, number of success = 8/8, acc = 100.0
completed 9/165, Solved: True, number of success = 9/9, acc = 100.0
completed 10/165, Solved: True, number of success = 10/10, acc = 100.0
completed 11/165, Solved: True, number of success = 11/11, acc = 100.0
completed 12/165, Solved: True, number of success = 12/12, acc = 100.0
completed 13/165, Solved: True, number of success = 13/13, acc = 100.0
completed 14/165, Solved: False, number of success = 13/14, acc = 92.86
completed 15/165, Solved: False, number of success = 13/15, acc = 86.67
completed 16/165, Solved: False, number of success = 13/16, acc = 81.25
completed 17/165, Solved: False, number of success = 13/17, acc = 76.47
completed 18/165, Solved: False, number of success = 13/18, acc = 72.22
completed 19/165, Solved: False, number of success = 13/19, acc = 68.42
completed 20/165, Solved: False, number of success = 13/20, acc = 65.0
completed 21/165, Solved: True, number of success = 14/21, acc = 66.67
completed 22/165, Solved: True, number of success = 15/22, acc = 68.18
completed 23/165, Solved: True, number of success = 16/23, acc = 69.57
completed 24/165, Solved: True, number of success = 17/24, acc = 70.83
completed 25/165, Solved: True, number of success = 18/25, acc = 72.0
completed 26/165, Solved: True, number of success = 19/26, acc = 73.08
completed 27/165, Solved: False, number of success = 19/27, acc = 70.37
completed 28/165, Solved: False, number of success = 19/28, acc = 67.86
completed 29/165, Solved: True, number of success = 20/29, acc = 68.97
completed 30/165, Solved: True, number of success = 21/30, acc = 70.0
completed 31/165, Solved: True, number of success = 22/31, acc = 70.97
completed 32/165, Solved: True, number of success = 23/32, acc = 71.88
completed 33/165, Solved: True, number of success = 24/33, acc = 72.73
completed 34/165, Solved: True, number of success = 25/34, acc = 73.53
completed 35/165, Solved: True, number of success = 26/35, acc = 74.29
completed 36/165, Solved: True, number of success = 27/36, acc = 75.0
completed 37/165, Solved: False, number of success = 27/37, acc = 72.97
completed 38/165, Solved: False, number of success = 27/38, acc = 71.05
completed 39/165, Solved: False, number of success = 27/39, acc = 69.23
completed 40/165, Solved: False, number of success = 27/40, acc = 67.5
completed 41/165, Solved: False, number of success = 27/41, acc = 65.85
completed 42/165, Solved: False, number of success = 27/42, acc = 64.29
completed 43/165, Solved: False, number of success = 27/43, acc = 62.79
completed 44/165, Solved: False, number of success = 27/44, acc = 61.36
completed 45/165, Solved: False, number of success = 27/45, acc = 60.0
completed 46/165, Solved: False, number of success = 27/46, acc = 58.7
completed 47/165, Solved: False, number of success = 27/47, acc = 57.45
completed 48/165, Solved: False, number of success = 27/48, acc = 56.25
completed 49/165, Solved: False, number of success = 27/49, acc = 55.1
completed 50/165, Solved: False, number of success = 27/50, acc = 54.0
completed 51/165, Solved: False, number of success = 27/51, acc = 52.94
completed 52/165, Solved: False, number of success = 27/52, acc = 51.92
completed 53/165, Solved: False, number of success = 27/53, acc = 50.94
completed 54/165, Solved: False, number of success = 27/54, acc = 50.0
completed 55/165, Solved: False, number of success = 27/55, acc = 49.09
completed 56/165, Solved: False, number of success = 27/56, acc = 48.21
completed 57/165, Solved: False, number of success = 27/57, acc = 47.37
completed 58/165, Solved: False, number of success = 27/58, acc = 46.55
completed 59/165, Solved: False, number of success = 27/59, acc = 45.76
completed 60/165, Solved: False, number of success = 27/60, acc = 45.0
completed 61/165, Solved: False, number of success = 27/61, acc = 44.26
completed 62/165, Solved: False, number of success = 27/62, acc = 43.55
completed 63/165, Solved: False, number of success = 27/63, acc = 42.86
completed 64/165, Solved: False, number of success = 27/64, acc = 42.19
completed 65/165, Solved: False, number of success = 27/65, acc = 41.54
completed 66/165, Solved: False, number of success = 27/66, acc = 40.91
completed 67/165, Solved: False, number of success = 27/67, acc = 40.3
completed 68/165, Solved: False, number of success = 27/68, acc = 39.71
completed 69/165, Solved: False, number of success = 27/69, acc = 39.13
completed 70/165, Solved: False, number of success = 27/70, acc = 38.57
completed 71/165, Solved: False, number of success = 27/71, acc = 38.03
completed 72/165, Solved: False, number of success = 27/72, acc = 37.5
completed 73/165, Solved: False, number of success = 27/73, acc = 36.99
completed 74/165, Solved: False, number of success = 27/74, acc = 36.49
completed 75/165, Solved: False, number of success = 27/75, acc = 36.0
completed 76/165, Solved: False, number of success = 27/76, acc = 35.53
