
completed 1/165, Solved: True, number of success = 1/1, acc = 100.0
completed 2/165, Solved: True, number of success = 2/2, acc = 100.0
completed 3/165, Solved: True, number of success = 3/3, acc = 100.0
completed 4/165, Solved: True, number of success = 4/4, acc = 100.0
completed 5/165, Solved: True, number of success = 5/5, acc = 100.0
completed 6/165, Solved: True, number of success = 6/6, acc = 100.0
completed 7/165, Solved: True, number of success = 7/7, acc = 100.0
completed 8/165, Solved: True, number of success = 8/8, acc = 100.0
completed 9/165, Solved: True, number of success = 9/9, acc = 100.0
completed 10/165, Solved: True, number of success = 10/10, acc = 100.0
completed 11/165, Solved: True, number of success = 11/11, acc = 100.0
completed 12/165, Solved: True, number of success = 12/12, acc = 100.0
completed 13/165, Solved: True, number of success = 13/13, acc = 100.0

completed 14/165, Solved: True, number of success = 14/14, acc = 100.0
completed 15/165, Solved: True, number of success = 15/15, acc = 100.0
completed 16/165, Solved: True, number of success = 16/16, acc = 100.0
completed 17/165, Solved: True, number of success = 17/17, acc = 100.0
completed 18/165, Solved: True, number of success = 18/18, acc = 100.0
completed 19/165, Solved: True, number of success = 19/19, acc = 100.0
completed 20/165, Solved: True, number of success = 20/20, acc = 100.0

completed 21/165, Solved: True, number of success = 21/21, acc = 100.0
completed 22/165, Solved: True, number of success = 22/22, acc = 100.0
completed 23/165, Solved: True, number of success = 23/23, acc = 100.0
completed 24/165, Solved: True, number of success = 24/24, acc = 100.0
completed 25/165, Solved: True, number of success = 25/25, acc = 100.0
completed 26/165, Solved: True, number of success = 26/26, acc = 100.0

completed 27/165, Solved: False, number of success = 26/27, acc = 96.3
completed 28/165, Solved: False, number of success = 26/28, acc = 92.86

completed 29/165, Solved: True, number of success = 27/29, acc = 93.1
completed 30/165, Solved: True, number of success = 28/30, acc = 93.33
completed 31/165, Solved: True, number of success = 29/31, acc = 93.55
completed 32/165, Solved: True, number of success = 30/32, acc = 93.75
completed 33/165, Solved: True, number of success = 31/33, acc = 93.94
completed 34/165, Solved: True, number of success = 32/34, acc = 94.12
completed 35/165, Solved: True, number of success = 33/35, acc = 94.29
completed 36/165, Solved: True, number of success = 34/36, acc = 94.44

completed 37/165, Solved: False, number of success = 34/37, acc = 91.89
completed 38/165, Solved: False, number of success = 34/38, acc = 89.47
completed 39/165, Solved: False, number of success = 34/39, acc = 87.18
completed 40/165, Solved: False, number of success = 34/40, acc = 85.0
completed 41/165, Solved: False, number of success = 34/41, acc = 82.93
completed 42/165, Solved: False, number of success = 34/42, acc = 80.95
completed 43/165, Solved: False, number of success = 34/43, acc = 79.07
completed 44/165, Solved: False, number of success = 34/44, acc = 77.27
completed 45/165, Solved: False, number of success = 34/45, acc = 75.56

completed 46/165, Solved: True, number of success = 35/46, acc = 76.09
completed 47/165, Solved: True, number of success = 36/47, acc = 76.6
completed 48/165, Solved: True, number of success = 37/48, acc = 77.08
completed 49/165, Solved: True, number of success = 38/49, acc = 77.55
completed 50/165, Solved: True, number of success = 39/50, acc = 78.0
completed 51/165, Solved: True, number of success = 40/51, acc = 78.43

completed 1/165, Solved: True, number of success = 1/1, acc = 100.0
completed 2/165, Solved: True, number of success = 2/2, acc = 100.0
completed 3/165, Solved: True, number of success = 3/3, acc = 100.0
completed 4/165, Solved: True, number of success = 4/4, acc = 100.0
completed 5/165, Solved: True, number of success = 5/5, acc = 100.0
completed 6/165, Solved: True, number of success = 6/6, acc = 100.0
completed 7/165, Solved: True, number of success = 7/7, acc = 100.0
completed 8/165, Solved: True, number of success = 8/8, acc = 100.0
completed 9/165, Solved: True, number of success = 9/9, acc = 100.0
completed 10/165, Solved: True, number of success = 10/10, acc = 100.0
completed 11/165, Solved: True, number of success = 11/11, acc = 100.0
completed 12/165, Solved: True, number of success = 12/12, acc = 100.0
completed 13/165, Solved: True, number of success = 13/13, acc = 100.0
completed 14/165, Solved: True, number of success = 14/14, acc = 100.0
completed 15/165, Solved: True, number of success = 15/15, acc = 100.0
completed 16/165, Solved: True, number of success = 16/16, acc = 100.0
completed 17/165, Solved: True, number of success = 17/17, acc = 100.0
completed 18/165, Solved: True, number of success = 18/18, acc = 100.0
completed 19/165, Solved: True, number of success = 19/19, acc = 100.0
completed 20/165, Solved: True, number of success = 20/20, acc = 100.0
completed 21/165, Solved: True, number of success = 21/21, acc = 100.0
completed 22/165, Solved: True, number of success = 22/22, acc = 100.0
completed 23/165, Solved: True, number of success = 23/23, acc = 100.0
completed 24/165, Solved: True, number of success = 24/24, acc = 100.0
completed 25/165, Solved: True, number of success = 25/25, acc = 100.0
