Accuracy:                            64.0
Solved:                               103
Unsolved:                              58


Total Prompt Tokens:             10042179
Average Prompt Tokens:              62374

Total Completion Tokens:          5180017
Average Completion Tokens:          32174

Total Taken Time:                55745.32s
Average Taken Time:                346.24s


Total Api Calls:                  7730.00
Max Api Calls:                         85
Min Api Calls:                          5
Average Api Calls:                4.8e+01


Solved Api Calls              
Api calls                          Solved
9                                      30
10                                     19
83                                     19
5                                       7
69                                      7
6                                       7
57                                      7
84                                      6
7                                       1

Unsolved Api Calls            
Api calls                        Unsolved
84                                     10
85                                      9
73                                      9
81                                      7
64                                      7
53                                      6
52                                      5
76                                      3
70                                      2
