Accuracy:                            54.7
Solved:                                88
Unsolved:                              73


Total Prompt Tokens:             10509293
Average Prompt Tokens:              65275

Total Completion Tokens:          5925187
Average Completion Tokens:          36802

Total Taken Time:                58139.30s
Average Taken Time:                361.11s


Total Api Calls:                  9759.00
Max Api Calls:                         92
Min Api Calls:                         10
Average Api Calls:                6.1e+01


Solved Api Calls              
Api calls                          Solved
10                                     41
87                                      8
85                                      7
83                                      7
88                                      7
86                                      6
89                                      6
81                                      6

Unsolved Api Calls            
Api calls                        Unsolved
78                                     17
92                                     10
83                                      9
11                                      8
81                                      7
67                                      6
70                                      5
86                                      5
89                                      3
76                                      3
