Accuracy:                            97.6
Solved:                               160
Unsolved:                               4


Total Prompt Tokens:               398462
Average Prompt Tokens:               2430

Total Completion Tokens:          1941221
Average Completion Tokens:          11837

Total Taken Time:                18098.98s
Average Taken Time:                110.36s


Total Api Calls:                   570.00
Max Api Calls:                         40
Min Api Calls:                          3
Average Api Calls:                    3.5


Solved Api Calls              
Api calls                          Solved
3                                     156
4                                       4

Unsolved Api Calls            
Api calls                        Unsolved
40                                      2
3                                       2
